text,label
"['plot', ':', 'two', 'teen', 'couples', 'go', 'to', ...]",neg
"['the', 'happy', 'bastard', ""'"", 's', 'quick', 'movie', ...]",neg
"['it', 'is', 'movies', 'like', 'these', 'that', 'make', ...]",neg
"['""', 'quest', 'for', 'camelot', '""', 'is', 'warner', ...]",neg
"['synopsis', ':', 'a', 'mentally', 'unstable', 'man', ...]",neg
"['capsule', ':', 'in', '2176', 'on', 'the', 'planet', ...]",neg
"['so', 'ask', 'yourself', 'what', '""', '8mm', '""', '(', ...]",neg
"['that', ""'"", 's', 'exactly', 'how', 'long', 'the', ...]",neg
"['call', 'it', 'a', 'road', 'trip', 'for', 'the', ...]",neg
"['plot', ':', 'a', 'young', 'french', 'boy', 'sees', ...]",neg
"['best', 'remembered', 'for', 'his', 'understated', ...]",neg
"['janeane', 'garofalo', 'in', 'a', 'romantic', ...]",neg
"['and', 'now', 'the', 'high', '-', 'flying', 'hong', ...]",neg
"['a', 'movie', 'like', 'mortal', 'kombat', ':', ...]",neg
"['she', 'was', 'the', 'femme', 'in', '""', 'la', ...]",neg
"['john', 'carpenter', 'makes', 'b', '-', 'movies', '.', ...]",neg
"['i', ""'"", 'm', 'really', 'starting', 'to', 'wonder', ...]",neg
"['so', 'what', 'do', 'you', 'get', 'when', 'you', ...]",neg
"['the', 'law', 'of', 'crowd', 'pleasing', 'romantic', ...]",neg
"['mighty', 'joe', 'young', 'blunders', 'about', 'for', ...]",neg
"['""', 'spawn', '""', 'features', 'good', 'guys', ',', ...]",neg
"['""', 'in', 'dreams', '""', 'might', 'keep', 'you', ...]",neg
"['""', 'knock', 'off', '""', 'is', 'exactly', 'that', ...]",neg
"['""', 'snake', 'eyes', '""', 'is', 'the', 'most', ...]",neg
"['forgive', 'the', 'fevered', 'criticism', 'but', ...]",neg
"['one', 'might', 'expect', 'a', 'cathartic', 'viewing', ...]",neg
"['america', 'loves', 'convenience', '.', 'after', ...]",neg
"['reindeer', 'games', 'is', 'easily', 'the', 'worst', ...]",neg
"['a', 'follow', '-', 'up', 'to', 'disney', ""'"", 's', ...]",neg
"['one', '-', 'sided', '""', 'doom', 'and', 'gloom', '""', ...]",neg
"['play', 'it', 'to', 'the', 'bone', ',', 'the', ...]",neg
"['some', 'movies', 'i', 'should', 'just', 'skip', '.', ...]",neg
"['hong', 'kong', 'cinema', 'has', 'been', 'going', ...]",neg
"['i', 'wish', 'i', 'could', 'have', 'been', 'in', ...]",neg
"['if', 'you', ""'"", 're', 'into', 'watching', 'near', ...]",neg
"['sean', 'connery', 'stars', 'as', 'a', 'harvard', ...]",neg
"['among', 'multitude', 'of', 'erotic', 'thrillers', ...]",neg
"['""', 'lake', 'placid', '""', 'marks', 'yet', 'another', ...]",neg
"['capsule', ':', 'where', 'are', 'you', 'tonight', ',', ...]",neg
"['the', 'classic', 'story', '&', 'the', 'production', ...]",neg
"['lengthy', 'and', 'lousy', 'are', 'two', 'words', ...]",neg
"['out', 'of', 'sight', 'director', 'steven', ...]",neg
"['a', 'pseudo', '-', 'intellectual', 'film', 'about', ...]",neg
"['""', 'party', 'camp', ',', '""', 'is', 'one', 'of', ...]",neg
"['i', ""'"", 'm', 'currently', 'accepting', 'all', ...]",neg
"['when', 'it', 'comes', 'to', 'the', 'average', ...]",neg
"['all', 'through', 'its', 'production', 'and', 'into', ...]",neg
"['instinct', 'is', 'the', 'kind', 'of', 'movie', ...]",neg
"['sydney', 'lumet', 'is', 'the', 'director', 'whose', ...]",neg
"['""', 'the', 'world', 'on', 'land', '--', 'it', ""'"", ...]",neg
"['my', 'giant', 'is', 'two', 'movies', 'for', 'the', ...]",neg
"['talk', 'about', 'a', 'movie', 'that', 'seemed', ...]",neg
"['this', 'feature', 'is', 'like', 'a', 'double', ...]",neg
"['one', 'of', 'the', 'responses', 'those', 'that', ...]",neg
"['has', 'it', 'really', 'been', 'two', 'decades', ...]",neg
"['funny', 'how', 'your', 'expectations', 'can', 'be', ...]",neg
"['unfortunately', 'it', 'doesn', ""'"", 't', 'get', ...]",neg
"['supposedly', 'based', 'on', 'a', 'true', 'story', ...]",neg
"['of', 'course', 'i', 'knew', 'this', 'going', 'in', ...]",neg
"['louie', 'is', 'a', 'trumpeter', 'swan', 'with', 'no', ...]",neg
"['one', 'of', 'the', 'most', 'respected', 'names', ...]",neg
"[""'"", 'traffic', 'violation', ""'"", 'dr', '.', 'daniel', ...]",neg
"['there', 'are', 'two', 'things', 'the', 'american', ...]",neg
"['would', 'you', 'believe', '--', 'in', 'real', 'life', ...]",neg
"['rated', ':', 'r', 'for', 'strong', 'violence', ',', ...]",neg
"['movie', 'reviewers', 'have', 'an', 'obligation', ...]",neg
"['mr', '.', 'nice', 'guy', 'is', 'the', 'latest', ...]",neg
"['""', 'first', 'rule', 'of', 'fight', 'club', 'is', ...]",neg
"['note', 'to', 'screenwriters', 'and', 'self', ':', ...]",neg
"['the', 'recent', 'onslaught', 'of', 'film', 'noir', ...]",neg
"['it', 'rocks', '-', 'actually', ',', 'lots', 'of', ...]",neg
"['there', ""'"", 's', 'a', '1', ',', '000', '-', 'foot', ...]",neg
"['""', 'there', 'will', 'be', 'another', ',', '""', ...]",neg
"['late', 'in', 'down', 'to', 'you', ',', 'the', 'lead', ...]",neg
"['for', 'better', 'or', 'worse', ',', 'the', ...]",neg
"['it', 'was', 'with', 'great', 'anticipation', 'that', ...]",neg
"['susan', 'granger', ""'"", 's', 'review', 'of', '""', ...]",neg
"['ahh', 'yes', '.', 'the', 'teenage', 'romance', '.', ...]",neg
"['""', 'virus', '""', 'is', 'the', 'type', 'of', ...]",neg
"['over', '40', 'years', 'ago', ',', 'a', 'japanese', ...]",neg
"['before', 'the', 'remake', 'of', 'psycho', 'appears', ...]",neg
"['coinciding', 'with', 'the', 'emerging', 'popularity', ...]",neg
"['edward', 'burns', 'tackles', 'his', 'third', ...]",neg
"['i', 'don', ""'"", 't', 'expect', 'much', 'from', ...]",neg
"['brian', 'de', 'palma', ',', 'the', 'director', 'who', ...]",neg
"['it', ""'"", 's', 'now', 'the', 'anniversary', 'of', ...]",neg
"['lucas', 'was', 'wise', 'to', 'start', 'his', 'star', ...]",neg
"['five', 'girls', 'spend', 'a', 'day', 'in', 'a', ...]",neg
"['the', 'first', 'film', 'produced', 'by', 'adam', ...]",neg
"['tectonic', 'plates', 'is', 'an', 'incredibly', ...]",neg
"['various', 'films', 'seen', 'at', 'the', 'seattle', ...]",neg
"['capsule', ':', 'the', 'weakest', 'and', 'least', ...]",neg
"['""', 'from', 'the', 'director', 'of', '""', 'the', ...]",neg
"['numerous', 'comparisons', 'can', 'be', 'made', ...]",neg
